Match_no,Date,Venue,match between,Team1,Team2,Winner,Toss
1,Oct-05,Ahmedabad,England vs New Zealand,England , New Zealand,New Zealand,New Zealand
2,Oct-06,Hyderabad,Pakistan vs Netherlands,Pakistan , Netherlands,Pakistan,Netherlands
3,Oct-07,Dharamsala,Bangladesh vs Afghanistan,Bangladesh , Afghanistan,Bangladesh,Bangladesh
4,Oct-07,Delhi,South Africa vs Sri Lanka,South Africa , Sri Lanka,South Africa,Sri Lanka
5,Oct-08,Chennai,India vs Australia,India , Australia,India,Australia
6,Oct-09,Hyderabad,New Zealand vs Netherlands,New Zealand , Netherlands,New Zealand,Netherlands
7,Oct-10,Dharamsala,England vs Bangladesh,England , Bangladesh ,England,Bangladesh
8,Oct-10,Hyderabad,Pakistan vs Sri Lanka,Pakistan , Sri Lanka,Pakistan,Sri Lanka
9,Oct-11,Delhi,India vs Afghanistan,India , Afghanistan,India,Afghanistan
10,Oct-12,Ekana Cricket Stadium Lucknow,Australia vs South Africa,Australia , South Africa,South Africa,Australia
11,Oct-13,Chennai,New Zealand vs Bangladesh,New Zealand , Bangladesh,New Zealand,New Zealand
12,Oct-14,Ahmedabad,India vs Pakistan,India , Pakistan,India,India
13,Oct-15,Delhi,England vs Afghanistan,England , Afghanistan,Afghanistan,England
14,Oct-16,Ekana Cricket Stadium Lucknow,Australia vs Sri Lanka,Australia , Sri Lanka,Australia,Sri Lanka
15,Oct-17,Dharamsala,South Africa vs Netherlands,South Africa , Netherlands,Netherlands,South Africa
16,Oct-18,Chennai,New Zealand vs Afghanistan,New Zealand , Afghanistan,New Zealand,Afghanistan
17,Oct-19,Pune,India vs Bangladesh,India , Bangladesh,India,Bangladesh
18,Oct-20,Bengaluru,Australia vs Pakistan,Australia , Pakistan,Australia,Pakistan
19,Oct-21,Ekana Cricket Stadium Lucknow,Netherlands vs Sri Lanka,Netherlands , Sri Lanka,Sri Lanka,Netherlands
20,Oct-21,Mumbai,England vs South Africa,England , South Africa,South Africa,England
21,Oct-22,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India vs New Zealand,India , New Zealand,India,India
22,Oct-23,Chennai,Pakistan vs Afghanistan,Pakistan , Afghanistan,Afghanistan,Pakistan
23,Oct-24,Mumbai,South Africa vs Bangladesh,South Africa , Bangladesh,South Africa,South Africa
24,Oct-25,Delhi,Australia vs Netherlands,Australia , Netherlands,Australia,Australia
25,Oct-26,Bengaluru,England vs Sri Lanka,England , Sri Lanka,Sri Lanka,England
26,Oct-27,Chennai,Pakistan vs South Africa,Pakistan , South Africa,South Africa,Pakistan
27,Oct-28,Dharamsala,Australia vs New Zealand,Australia , New Zealand,Australia,New Zealand
28,Oct-28,Kolkata,Netherlands vs Bangladesh,Netherlands , Bangladesh,Netherlands,Netherlands
29,Oct-29,Ekana Cricket Stadium Lucknow,India vs England,India , England,India,England
30,Oct-30,Pune,Afghanistan vs Sri Lanka,Afghanistan , Sri Lanka,Afghanistan,Afghanistan
31,Oct-31,Kolkata,Pakistan vs Bangladesh,Pakistan , Bangladesh,Pakistan,Bangladesh
32,Nov-01,Pune,New Zealand vs South Africa,New Zealand , South Africa,South Africa,New Zealand
33,Nov-02,Mumbai,India vs Sri Lanka,India , Sri Lanka,India,Sri Lanka
34,Nov-03,Ekana Cricket Stadium Lucknow,Netherlands vs Afghanistan,Netherlands , Afghanistan,Afghanistan,Netherlands
35,Nov-04,Bengaluru,New Zealand vs Pakistan,New Zealand , Pakistan,Pakistan,Pakistan
36,Nov-04,Ahmedabad,England vs Australia,England , Australia,Australia,England
37,Nov-05,Kolkata,India vs South Africa,India , South Africa,India,India
38,Nov-06,Delhi,Bangladesh vs Sri Lanka,Bangladesh , Sri Lanka,Bangladesh,Bangladesh
39,Nov-07,Mumbai,Australia vs Afghanistan,Australia , Afghanistan,Australia,Afghanistan
40,Nov-08,Pune,England vs Netherlands,England , Netherlands,England,England
41,Nov-09,Bengaluru,New Zealand vs Sri Lanka,New Zealand , Sri Lanka,New Zealand,New Zealand
42,Nov-10,Ahmedabad,South Africa vs Afghanistan,South Africa , Afghanistan,South Africa,Afghanistan
43,Nov-11,Pune,Australia vs Bangladesh,Australia , Bangladesh,Australia,Australia
44,Nov-11,Kolkata,England vs Pakistan,England , Pakistan,England,England
45,Nov-12,Bengaluru,India vs Netherlands,India , Netherlands,India,India
46,Nov-15,Mumbai,India vs New Zealand,India ,New Zealand,India,India
47,Nov-16,Kolkata,Australia vs South Africa,Australia , South Africa,Australia,South Africa
48,Nov-19,Ahmedabad,India vs Australia,India,Australia,Australia,Australia
